DateTime,Temperature (C),Temperature (F),Condition,Humidity,Wind (kph),Pressure (mb)
2024-04-15,2024-04-15 09:00,31.7,89.1,Sunny,53,8.6,1013.0
2024-04-15,2024-04-15 10:00,33.8,92.9,Patchy rain possible,43,9.4,1012.0
2024-04-15,2024-04-15 11:00,35.8,96.4,Patchy rain possible,35,10.1,1011.0
2024-04-15,2024-04-15 12:00,37.6,99.6,Sunny,29,11.5,1010.0
2024-04-15,2024-04-15 13:00,37.7,99.8,Sunny,25,13.3,1008.0
2024-04-15,2024-04-15 14:00,37.7,99.9,Sunny,23,18.4,1007.0
2024-04-15,2024-04-15 15:00,37.2,98.9,Sunny,25,25.2,1006.0
2024-04-15,2024-04-15 16:00,35.6,96.0,Sunny,30,24.5,1007.0
2024-04-15,2024-04-15 17:00,33.4,92.2,Sunny,39,23.9,1008.0
2024-04-15,2024-04-15 18:00,31.6,88.9,Sunny,51,20.7,1009.0
2024-04-15,2024-04-15 19:00,29.9,85.8,Clear,62,18.4,1010.0
2024-04-15,2024-04-15 20:00,28.9,84.0,Clear,69,14.6,1011.0
2024-04-15,2024-04-15 21:00,28.4,83.1,Clear,73,14.8,1011.0
2024-04-15,2024-04-15 22:00,28.2,82.7,Partly cloudy,75,12.2,1012.0
2024-04-15,2024-04-15 23:00,27.9,82.3,Partly cloudy,77,8.6,1011.0
2024-04-16,2024-04-16 00:00,26.9,80.4,Clear,79,4.0,1011.0
2024-04-16,2024-04-16 01:00,26.6,80.0,Cloudy,80,3.6,1010.0
2024-04-16,2024-04-16 02:00,26.5,79.7,Cloudy,81,5.4,1010.0
2024-04-16,2024-04-16 03:00,26.3,79.4,Partly cloudy,82,5.8,1010.0
2024-04-16,2024-04-16 04:00,26.0,78.9,Partly cloudy,83,5.4,1010.0
2024-04-16,2024-04-16 05:00,25.8,78.5,Partly cloudy,85,5.4,1010.0
2024-04-16,2024-04-16 06:00,26.3,79.4,Partly cloudy,83,5.0,1011.0
2024-04-16,2024-04-16 07:00,28.3,83.0,Cloudy,76,5.0,1012.0
2024-04-16,2024-04-16 08:00,30.1,86.3,Partly cloudy,67,1.1,1012.0
2024-04-16,2024-04-16 09:00,32.1,89.8,Sunny,55,5.0,1012.0
2024-04-16,2024-04-16 10:00,34.1,93.4,Sunny,45,7.2,1011.0
2024-04-16,2024-04-16 11:00,36.0,96.8,Sunny,36,7.2,1010.0
2024-04-16,2024-04-16 12:00,37.5,99.5,Sunny,30,7.6,1009.0
2024-04-16,2024-04-16 13:00,38.7,101.6,Sunny,26,9.4,1007.0
2024-04-16,2024-04-16 14:00,38.1,100.6,Sunny,23,10.4,1006.0
2024-04-16,2024-04-16 15:00,38.2,100.8,Sunny,23,14.4,1005.0
2024-04-16,2024-04-16 16:00,37.3,99.2,Sunny,29,17.6,1005.0
2024-04-16,2024-04-16 17:00,35.3,95.5,Sunny,40,20.3,1006.0
